can_id,can_nam,net_ope_exp,net_con,tot_loa,can_off,can_inc_cha_ope_sea,winner
H6MD01221,"IRETON, JIM",49610.81,73867.56,0.0,H,CHALLENGER,False
H0KS03137,"YODER, KEVIN",2588752.95,2566822.67,0.0,H,INCUMBENT,True
P60017142,"TOPPING, BRIAN KEITH",455.8,227.9,0.0,P,OPEN,False
H6MI10201,"SANBORN, ALAN",60514.59,60538.4,3000.0,H,OPEN,False
H6MO07268,"BYRNE, MARY RADASZEWSKI MRS",29108.21,29108.21,0.0,H,CHALLENGER,False
H6MI04113,"UPTON, FREDERICK STEPHEN",1802224.46,2719739.0,0.0,H,INCUMBENT,True
S6CO00366,"MENCONI, ARNOLD MICHAEL",13383.0,14078.0,0.0,S,CHALLENGER,False
H2GA09150,"COLLINS, DOUGLAS ALLEN",1031087.36,1178372.93,0.0,H,INCUMBENT,True
H6CA53054,"VELTMEYER, JAMES",114925.19,104086.07,12500.0,H,CHALLENGER,False
H6TX08167,"DEAN, ANDRE",11602.0,11314.0,2254.0,H,CHALLENGER,False
H6MS01230,"SPARKS, DANIEL HUDSON",15977.04,18483.0,8617.28,H,CHALLENGER,False
H6OH07119,"ROBERTSON, TERRY",3225.36,2355.89,200.0,H,CHALLENGER,False
H2FL00292,"DESANTIS, RONALD D.",3435710.49,4600666.71,0.0,H,INCUMBENT,True
S6GA00218,"COPELAND, CHERYL",11397.0,10577.0,0.0,S,CHALLENGER,False
H8MD01094,"HARRIS, ANDREW P",500548.29,1184269.96,0.0,H,INCUMBENT,True
H6NC13145,"WALSER, JASON ALBERT",80592.13,83229.71,0.0,H,CHALLENGER,False
S2SD00068,"THUNE, JOHN",1953970.0,4460025.0,0.0,S,INCUMBENT,True
H2CA00120,"BROWNLEY, JULIA",1404724.47,3078109.45,0.0,H,INCUMBENT,True
H0OK05155,"GUILD, THOMAS EUGENE",76456.69,29821.08,46900.0,H,CHALLENGER,False
H6IN03245,"NIGHTENHELSER, TODD ALAN",715.83,2344.18,0.0,H,OPEN,False
H6FL11126,"CASTOR, KATHY",497802.61,663061.13,0.0,H,INCUMBENT,True
H2GA09176,"FITZPATRICK, ROGER ",16049.02,17965.0,0.0,H,CHALLENGER,False
S6LA00383,"CRAWFORD, DONALD L JR",7726.0,925.0,12500.0,S,OPEN,False
H6CA06227,"EVANS, ROBERT S",2805.0,2805.0,100.0,H,CHALLENGER,False
H6AL06127,"PUTMAN, DAVID",56333.96,7645.0,46000.0,H,CHALLENGER,False
H4FL08077,"WESTBROOK, CORRY",25738.72,25921.6,10600.0,H,CHALLENGER,False
H4MS02068,"THOMPSON, BENNIE G.",761265.17,922794.7,0.0,H,INCUMBENT,True
P60017688,"HALL, DAVID EAMES",4.59,100.0,0.0,P,OPEN,False
H0CA11337,"AMADOR, ANTONIO C",30903.58,48462.25,0.0,H,CHALLENGER,False
H6LA03114,"REES, GROVER JOSEPH",57864.65,77425.0,74860.0,H,OPEN,False
H6AZ01249,"BEGAY, CARLYLE WILMER",89815.12,91815.12,0.0,H,OPEN,False
H6NJ04158,"PHILLIPSON, LORNA",191689.68,241504.16,9729.49,H,CHALLENGER,False
S6OR05093,"STEWART, FAYE",121338.0,121340.0,0.0,S,CHALLENGER,False
H8MS03067,"HARPER, GREGG",1031629.29,848830.0,0.0,H,INCUMBENT,True
H6CA46157,"DUNN, JOSEPH",390112.64,395815.99,0.0,H,OPEN,False
H6OH09099,"LARSON, DONALD PHILIP",24123.84,22659.39,5200.0,H,CHALLENGER,False
H6WI08189,"LASEE, FRANK",185720.2,322988.17,0.0,H,OPEN,False
H4WA08071,"REICHERT, DAVE",1255862.52,1500425.18,0.0,H,INCUMBENT,True
S0AR00150,"BOOZMAN, JOHN",2905565.0,3747026.0,0.0,S,INCUMBENT,True
H0WA08046,"DELBENE, SUZAN K",983829.87,1858474.33,0.0,H,INCUMBENT,True
H0TX04136,"GIGLIOTTI, LOUIS P",130300.16,3374.95,119000.0,H,CHALLENGER,False
H4AS00036,"AMATA, AUMUA",49858.67,71600.0,0.0,H,INCUMBENT,False
H6MD07160,"CUMMINGS, ELIJAH E",533008.78,999444.15,0.0,H,INCUMBENT,True
H4FL13135,"BIRCHER, MARK WILLIAM",48491.0,6491.0,42000.0,H,CHALLENGER,False
H6MI10219,"FORLINI, ANTHONY G.",111294.1,84673.97,35968.24,H,OPEN,False
H6WV02127,"PEYTON, HARVEY D.",204300.22,149300.22,55000.0,H,CHALLENGER,False
H2CA35100,"HALL, ISADORE III",1653134.19,1708844.94,0.0,H,OPEN,False
H6IN08244,"DRAKE, RON",9261.0,2750.0,5000.0,H,CHALLENGER,False
H2TX35029,"NARVAIZ, SUSAN",103660.82,110586.83,1000.0,H,CHALLENGER,False
H4OK05132,"RUSSELL, STEVEN DANE",703664.71,761226.25,0.0,H,INCUMBENT,True
H2OH03067,"TURNER, MICHAEL R",969561.01,970928.27,0.0,H,INCUMBENT,True
H6NY19219,"LOPEZ, PETER D",17352.55,34495.0,0.0,H,OPEN,False
H6UT02390,"ALBARRAN, CHARLENE MCARTHUR",548462.32,562153.0,0.0,H,CHALLENGER,False
H0OH16097,"RENACCI, JAMES B.",1255612.09,1939071.55,0.0,H,INCUMBENT,True
S6CA00766,"BEITIKS, MIKELIS VALAINIS",6348.0,6500.0,0.0,S,OPEN,False
H6TX32050,"RAMSLAND, RUSSELL JAMES JR.",292210.59,292210.51,0.0,H,CHALLENGER,False
H0PA10078,"MARINO, THOMAS ANTHONY",701454.12,1005906.46,0.0,H,INCUMBENT,True
H4MA03022,"MCGOVERN, JAMES P",542265.75,878465.25,0.0,H,INCUMBENT,True
H4IL03077,"LIPINSKI, DANIEL WILLIAM WILLIAM",488426.96,809719.5,0.0,H,INCUMBENT,True
S6IA00140,"JUDGE, PATTY JEAN",1748126.0,1975301.0,0.0,S,CHALLENGER,False
H6IL01167,"BROOKINS, HOWARD B. JR.",197032.64,202368.61,0.0,H,CHALLENGER,False
H6TX19115,"CORLEY, JASON ERIC MR.",11264.95,3550.0,0.0,H,OPEN,False
S6MD03458,"EDWARDS, DONNA FERN",3474473.0,3488065.0,0.0,S,OPEN,False
H6VI00067,"RUSSELL, RONALD E MR",3781.0,600.0,4000.0,H,CHALLENGER,False
H6FL10136,"THOMPSON, GERALDINE F.",199048.92,136108.61,66000.0,H,CHALLENGER,False
H4PA07092,"BALCHUNIS, MARY ELLEN",128619.36,182209.92,0.0,H,CHALLENGER,False
H4CO03241,"SHELDON, STEPHEN MARC",7383.0,7390.0,0.0,H,CHALLENGER,False
H6NE03115,"SMITH, ADRIAN",374495.25,1100156.49,0.0,H,INCUMBENT,True
P60007754,"WINSLOW, BRAD MR.",13028.29,30.0,0.0,P,OPEN,False
S6FL00285,"KEITH, PAMELA MICHELE",220495.0,152221.0,93455.0,S,CHALLENGER,False
H6MI01234,"BOSTOW, DIANE EVELYN",5120.65,6389.24,0.0,H,OPEN,False
S4PA00121,"TOOMEY, PATRICK JOSEPH",24201527.0,18653891.0,0.0,S,INCUMBENT,True
H4MD04113,"CHRISTOPHER, WARREN",75817.81,194481.82,50000.0,H,OPEN,False
H4FL01155,"WICHERN, MARK",71495.0,34026.0,45000.0,H,OPEN,False
H6TX25179,"THOMAS, KATHLEEN",31474.92,59879.64,0.0,H,CHALLENGER,False
S6AK00169,"STEVENS, CEAN",16114.0,6805.0,9997.0,S,CHALLENGER,False
H0MI02094,"HUIZENGA, WILLIAM P THE HON.",1003061.09,1152933.79,0.0,H,INCUMBENT,True
P60014776,"MCAFEE, JOHN DAVID",59502.95,46142.01,32000.0,P,OPEN,False
H2HI02110,"HANABUSA, COLLEEN WAKAKO",398738.91,813299.23,0.0,H,OPEN,True
H0SD00054,"NOEM, KRISTI LYNN",1082356.55,2217745.45,0.0,H,INCUMBENT,True
H4SC01271,"CHERNY, DIMITRI",14107.19,26300.64,0.0,H,CHALLENGER,False
H6WY01090,"RAMMELL, REX",10136.0,21548.0,5609.0,H,OPEN,False
H6NY16132,"LAWRENCE, DERICKSON K",14759.89,34460.09,0.0,H,CHALLENGER,False
H6KY01102,"BATTS, JASON",176664.44,154069.19,25000.0,H,OPEN,False
H6TX32084,"ROUGHNEEN, CHERIE",11844.04,4637.82,0.0,H,CHALLENGER,False
H6CA53047,"ASH, JAMES",35117.51,21778.0,13500.0,H,CHALLENGER,False
H6CA39137,"MURDOCK, BRETT",53020.25,55930.92,2500.0,H,CHALLENGER,False
H6MS01131,"KELLY, JOHN TRENT",771566.17,1014137.85,50000.0,H,INCUMBENT,True
H6FL09179,"SOTO, DARREN",971478.89,1057719.54,10000.0,H,OPEN,True
H8MN03077,"PAULSEN, ERIK",4046303.12,4488239.51,0.0,H,INCUMBENT,True
H6FL02190,"THOMAS, MARY",1032317.05,1050547.52,45000.0,H,OPEN,False
H8FL25015,"GARCIA, JOE",945657.64,1133757.16,0.0,H,CHALLENGER,False
H6WI08163,"NELSON, TOM",1253136.36,1419720.58,0.0,H,OPEN,False
S6LA00425,"MARSALA, CHARLES",10835.0,3915.0,10600.0,S,OPEN,False
H4VA10089,"COMSTOCK, BARBARA J HONORABLE",3692166.46,4245064.07,0.0,H,INCUMBENT,True
S0IN00095,"STUTZMAN, MARLIN A",2580541.62,2077032.0,0.0,S,OPEN,False
P60005972,"EVERSON, MARK",1211479.84,702080.32,237000.0,P,OPEN,False
S6KY00138,"KENDER, JEFF DARRELL",5700.0,5701.0,0.0,S,CHALLENGER,False
H6IL14129,"WALZ, JIM",17363.45,17846.0,1000.0,H,CHALLENGER,False
H6OH08190,"SPURLINO, JIM",340956.68,140956.68,200000.0,H,OPEN,False
H6IL06158,"KINZLER, GORDON (JAY)",200414.06,98091.02,102600.0,H,CHALLENGER,False
H6IL08162,"NOLAND, MICHAEL",302189.74,311087.06,0.0,H,OPEN,False
H8WI02121,"THERON, DANIEL PETER",36581.72,26294.99,14000.0,H,CHALLENGER,False
H6FL01168,"DOSEV, CRIS",456698.78,87398.03,395000.0,H,OPEN,False
H4AZ06045,"SCHWEIKERT, DAVID",285981.87,499491.84,0.0,H,INCUMBENT,True
S6AL00336,"BOWMAN, MARCUS",770.0,1890.0,0.0,S,CHALLENGER,False
H6CA22125,"MCCARTHY, KEVIN",3933938.98,4412436.51,0.0,H,INCUMBENT,True
H0MS01050,"ROSS, HERMAN HENRY II",103867.22,107884.26,0.0,H,OPEN,False
P60007242,"FIORINA, CARLY",114767608.05,140460945.94,0.0,P,OPEN,False
S6OH00247,"SITTENFELD, P G",1358824.0,1359327.0,10000.0,S,CHALLENGER,False
H6MI13213,"WINFREY, JANICE MARIE",78870.99,78488.64,0.0,H,CHALLENGER,False
H6IL08147,"KRISHNAMOORTHI, S. RAJA",2320735.61,3424050.29,0.0,H,OPEN,True
H6TX17101,"SIMS, KALEB",27622.0,27422.0,0.0,H,CHALLENGER,False
S6NC00308,"HOLMQUIST, LARRY",9443.0,9445.0,0.0,S,CHALLENGER,False
S0IA00101,"KRAUSE, ROBERT ALLEN",17417.0,2839.0,0.0,S,CHALLENGER,False
H6AL04098,"ADERHOLT, ROBERT BROWN",1315647.12,1345664.38,0.0,H,INCUMBENT,True
S6MO00461,"LEE, PATRICK",5361.0,5611.0,0.0,S,CHALLENGER,False
H6PA08277,"FITZPATRICK, BRIAN",1404169.43,1797229.18,0.0,H,OPEN,True
H4CA10075,"EGGMAN, MICHAEL RAY",1090126.52,1268701.54,0.0,H,CHALLENGER,False
H6CT05140,"MAXWELL, MATTHEW",795.0,5782.0,10000.0,H,CHALLENGER,False
H0VA09055,"GRIFFITH, H MORGAN",467961.15,797497.25,0.0,H,INCUMBENT,True
H4UT04011,"OWENS, H DOUGLAS",1877240.39,1969596.93,0.0,H,CHALLENGER,False
H0AL07086,"SEWELL, TERRYCINA ANDREA",597591.8,1508980.19,0.0,H,INCUMBENT,True
H6NC12030,"DUFFIE, RYAN",5971.83,6585.0,0.0,H,CHALLENGER,False
H4TX22163,"GIBSON, MARK",19113.1,9349.0,11957.0,H,CHALLENGER,False
H6IL18120,"LOPEZ, ADAM",11658.02,13233.02,400.0,H,OPEN,False
H6IL09145,"LASONDE, JOAN MCCARTHY",133265.71,175022.6,0.0,H,CHALLENGER,False
H6MN02164,"HOWE, JOHN STERLING",113383.95,108539.09,742500.0,H,OPEN,False
H8VA01147,"WITTMAN, ROBERT J MR.",818868.46,978574.19,0.0,H,INCUMBENT,True
H0TX23086,"HURD, WILLIAM",3182163.05,3482524.49,0.0,H,INCUMBENT,True
S6IN00191,"YOUNG, TODD CHRISTOPHER",8840725.63,7949261.0,0.0,S,OPEN,True
H6NC03138,"LAW, PHILIP JOSEPH",145404.32,145404.32,8500.0,H,CHALLENGER,False
H0GA07133,"WOODALL, ROB REP.",286006.8,588520.26,0.0,H,INCUMBENT,True
H6MD08465,"JAWANDO, WILL MR.",505301.75,512040.74,0.0,H,OPEN,False
S0KS00091,"MORAN, JERRY",3703639.0,4091962.0,0.0,S,INCUMBENT,True
H6DE01071,"REIGLE, HANS",168914.05,200724.32,8452.18,H,OPEN,False
H0IL11052,"KINZINGER, ADAM",774823.2,1727260.85,0.0,H,INCUMBENT,True
H6IL12107,"VOWELL, EDWARD F.",42913.28,37913.28,0.0,H,CHALLENGER,False
H6FL06191,"MOONEY, PATRICK",172320.91,176879.44,200000.0,H,CHALLENGER,False
H6WI01226,"NEHLEN, PAUL III",1391460.28,1459024.97,100000.0,H,CHALLENGER,False
H6WI07181,"HOEFT, MARY",79288.79,105417.05,0.0,H,CHALLENGER,False
H0GA09030,"GRAVES, JOHN THOMAS MR. JR.",642949.07,1255026.26,0.0,H,INCUMBENT,True
S0CT00177,"BLUMENTHAL, RICHARD",3850075.0,6989367.0,0.0,S,INCUMBENT,True
H2MI11133,"BENTIVOLIO, KERRY",4618.83,27165.0,1500.0,H,CHALLENGER,False
H6PA11073,"MARSICANO, MICHAEL PAUL",122113.77,29450.0,390418.43,H,CHALLENGER,False
H0NH01217,"GUINTA, FRANK",1117175.62,1173369.25,0.0,H,INCUMBENT,False
H2FL08055,"MICA, JOHN L. MR.",1340584.73,1238049.18,0.0,H,INCUMBENT,False
H4AR02141,"HILL, JAMES FRENCH",1323692.33,2051232.07,0.0,H,INCUMBENT,True
H8CA20059,"NUNES, DEVIN G",740196.87,2053078.84,0.0,H,INCUMBENT,True
S6PA00274,"FETTERMAN, JOHN KART",760316.0,758981.0,0.0,S,CHALLENGER,False
H0ND01026,"CRAMER, KEVIN MR.",727918.42,1308804.42,0.0,H,INCUMBENT,True
P60006111,"CRUZ, RAFAEL EDWARD TED""""",724308424.2,827930839.87,0.0,P,OPEN,False
S6CO00283,"KEYSER, JON",557621.0,345527.0,210000.0,S,CHALLENGER,False
H6CA17141,"COHEN, RONALD H",3630.0,4094.0,0.0,H,CHALLENGER,False
S6FL00376,"GRAYSON, ALAN MARK",3585661.0,4139832.78,512600.0,S,CHALLENGER,False
H6KS01179,"MARSHALL, ROGER W",1367071.02,1176285.85,364000.0,H,CHALLENGER,True
H6ME01215,"SMITH, ANDE",115914.88,147070.51,0.0,H,CHALLENGER,False
H6TN04200,"REYNOLDS, STEVEN",42271.61,33220.2,16653.29,H,CHALLENGER,False
H6OH07127,"RICH, ROY",4957.0,6628.65,0.0,H,CHALLENGER,False
H6TX13126,"ANSEL, JEFFREY",2320.79,4767.0,0.0,H,CHALLENGER,False
H6MD04217,"PENA-MELNYK, JOSELINE A.",890864.6,892494.44,0.0,H,OPEN,False
H4WV02080,"MOONEY, ALEXANDER XAVIER",714310.14,1155027.32,0.0,H,INCUMBENT,True
H4CO04090,"BUCK, KENNETH R",550056.91,808161.67,0.0,H,INCUMBENT,True
H2CT05131,"ESTY, ELIZABETH",782972.74,1867329.89,0.0,H,INCUMBENT,True
H8IL09067,"SCHAKOWSKY, JANICE D",884011.59,1304944.64,0.0,H,INCUMBENT,True
H8MO09153,"LUETKEMEYER, W BLAINE",550469.87,1795890.99,0.0,H,INCUMBENT,True
H6NV03105,"FIORE, MICHELE",420995.96,428117.08,0.0,H,OPEN,False
H6GA11074,"DAVIS, BILLY",69446.45,17875.02,55000.0,H,CHALLENGER,False
H6SC02100,"BJORN, ARIK",53329.21,62197.64,0.0,H,CHALLENGER,False
H6MI08262,"SHKRELI, SUZANNA",509455.43,567751.45,8500.0,H,CHALLENGER,False
H4OH04046,"GARRETT, JANET PATRICIA MRS.",52661.31,76823.87,0.0,H,CHALLENGER,False
H6CT05157,"COPE, CLAY",73450.72,96997.57,0.0,H,CHALLENGER,False
S6OH00254,"STRICKLAND, TED",9534643.0,9357081.0,0.0,S,CHALLENGER,False
H4NV01153,"TEIJEIRO, ANNETTE",46779.68,46457.67,104312.09,H,OPEN,False
H6PA16338,"WEGMAN, GARY",7099.97,6599.97,0.0,H,OPEN,False
H6OH01096,"YOUNG, MICHELE LORI",156531.96,150883.07,52000.0,H,CHALLENGER,False
H6TX03184,"THURGOOD, KEITH LEE",6300.46,5560.1,3125.0,H,CHALLENGER,False
H6AL05202,"BOYD, WILLIE WILL"" DR. JR.""",54923.85,52983.73,2893.2,H,CHALLENGER,False
H6TX15188,"QUINTANILLA, JOEL",19187.99,11363.41,9000.0,H,OPEN,False
H4TX02108,"POE, TED",338466.85,790264.14,0.0,H,INCUMBENT,True
H6TX03150,"SLAVENS, JOHN CALVIN",73918.58,73918.58,0.0,H,CHALLENGER,False
H6CA52130,"GITSHAM, DENISE",1148876.32,1201356.36,110000.0,H,CHALLENGER,False
H4NE02054,"ASHFORD, BRAD",2143438.42,2255900.76,0.0,H,INCUMBENT,False
H2MD08084,"SKOLNICK, SHELTON",765.0,1200.0,0.0,H,OPEN,False
S6NH00091,"HASSAN, MARGARET WOOD",13622825.0,14006424.0,0.0,S,CHALLENGER,True
H6KY01110,"COMER, JAMES",924138.41,964432.08,100000.0,H,OPEN,True
H6TX07128,"ESPINOZA, MARIA L",87749.97,28337.48,59500.0,H,CHALLENGER,False
H8CA41139,DR RITA RAMIREZ,31479.31,5641.08,30102.04,H,CHALLENGER,False
H6TX19156,"PARRISH, DON",18046.63,11525.0,41000.0,H,OPEN,False
H0SC04257,"GOWDY, TREY",802469.83,1490630.45,0.0,H,INCUMBENT,True
H6MI12264,"JONES, JEFF",8701.0,18375.0,20000.0,H,CHALLENGER,False
H8NY07046,"CROWLEY, JOSEPH",2114509.35,2224738.92,0.0,H,INCUMBENT,True
S0OR00238,"CARPENTER, SAMUEL STEPHEN",54395.0,15449.0,39000.0,S,CHALLENGER,False
S6CA00816,"PYBRUM, STEVEN M",1250.0,1250.0,0.0,S,OPEN,False
H6PR00074,"LABOY-ALVARADO, ZOE M",24728.45,16200.0,10054.5,H,OPEN,False
H6FL09153,"RANGEL, RICARDO",30349.99,30324.99,0.0,H,OPEN,False
S6GA00242,"BACALLAO, MARY KAY",1737.0,2742.0,7458.0,S,CHALLENGER,False
S6GA00200,"BARKSDALE, JAMES FREEMAN",4770944.0,510547.0,4400000.0,S,CHALLENGER,False
H6FL04113,"RAY, LAKE GROSS III",231478.93,125051.64,108000.0,H,OPEN,False
H6DE00206,"ROCHESTER, LISA BLUNT",1102656.32,908041.8,464500.0,H,OPEN,True
H6AL04148,"NORRIS, PHILLIP",3550.0,3549.69,0.0,H,CHALLENGER,False
H2SC02042,"CLYBURN, JAMES E.",864679.61,2025138.2,0.0,H,INCUMBENT,True
H6NY19235,"YANDIK, WILL",399804.24,400496.61,0.0,H,OPEN,False
S8NY00082,"SCHUMER, CHARLES E",6930401.0,16447014.0,0.0,S,INCUMBENT,True
P20002721,"SANTORUM, RICHARD J.",14156209.75,9549878.57,344000.0,P,OPEN,False
H8TX22107,"OLSON, PETER G.",1058886.64,1438730.67,0.0,H,INCUMBENT,True
H6VA07130,"WADE, MICHAEL LEO",112488.98,95577.0,21000.0,H,CHALLENGER,False
H2MI17023,"LEVIN, SANDER M MR",608029.35,1230057.08,0.0,H,INCUMBENT,True
H6AZ09010,"GILES, DAVID VICTOR",170978.52,13441.21,241027.42,H,CHALLENGER,False
H6CO05241,"VARGAS, CALANDRA",21810.52,21810.52,0.0,H,CHALLENGER,False
S6GA00119,"ISAKSON, JOHN HARDY",7983208.0,7735864.0,0.0,S,INCUMBENT,True
S6CA00675,"PALZER, THOMAS EDWARD",24203.0,25488.0,0.0,S,OPEN,False
H2IL01042,"RUSH, BOBBY LEE",539521.61,562080.0,0.0,H,INCUMBENT,True
H0AR01083,"CRAWFORD, ERIC ALAN RICK",386682.88,635321.88,0.0,H,INCUMBENT,True
H6OH16136,"MUNDY, KEITH FRANCIS",3840.97,12131.75,0.0,H,CHALLENGER,False
H6GA05290,"BELL, DOUGLAS ANTHONY",4424.91,9913.57,0.0,H,CHALLENGER,False
H6SC04163,"FEDALEI, CHRISTOPHER",88271.59,91281.12,0.0,H,CHALLENGER,False
